"","HHID","hhsize","hhsize_ae","dep_ratio","hh_head_age","hh_head_sex","hh_head_sch","hh_head_read","comm","stratum","urban","int_month","int_year","sh_tof_w_b","sh_tof_wo_b","sh_fruit_w_b","sh_fruit_wo_b","sh_cash","land_size","exp_food","exp_food_pur","exp_food_away","exp_food_own","exp_food_free","exp_nodurable","exp_durable","tot_exp","self_con_fruit","self_con_cash","self_con_other","harv_q_fruit","harv_q_cash","harv_q_other","inc_fruit","inc_cash","inc_other","inc_ag_total","share_fruit","share_treesonfarm","lvst_large","lvst_small","lvst_poul","wave"
"11424","4101000107",1,1,0,28,1,NA,1,"41010001","Western",1,11,2011,0,0,0,0,0,0,38485.281055875,18660.281155875,7929.99996,0,11894.99994,2304061.488378,218074.9989,4523371.1021835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12"
"11425","4101000108",7,5.77,0.75,47,1,NA,1,"41010001","Western",1,6,2012,0,0,0,0,0,0,15190.906173375,15190.906173375,0,0,0,2336177.988216,589793.747025,8400050.707629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12"
"11426","4101000109",14,12.12,0.75,45,1,NA,1,"41010001","Western",1,11,2011,0.909090907859408,0,0.909090907859408,0,0,1.10000000149012,63291.31218075,60317.56219575,0,0,2973.749985,3768359.77099188,819763.745865,9013261.74453588,0.431944444444444,0,0.8,85,0,9,0,0,0,0,0,0,0,1,0,"12"
"11427","4101000110",15,12.86,0.666666666666667,37,1,NA,1,"41010001","Western",1,11,2011,0.600000005960464,0,0.600000005960464,0,0,0.500000014901161,87155.655810375,15190.906173375,0,71964.749637,0,3338926.483158,4486000.977372,10170224.9487,0.944444444444444,0,1,180,0,77,0,0,0,0,0,0,0,0,0,"12"
"11428","4101000501",9,7.02,0.333333333333333,36,0,NA,1,"41010005","Western",1,2,2012,0,0,0,0,0,0,83066.749581,75136.749621,0,0,7929.99996,707752.49643,6787088.715765,11814312.190407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12"
"11429","4101000511",3,2.45,0.5,59,0,NA,NA,"41010005","Western",1,3,2012,0,0,0,0,0,0,32339.531086875,29861.406099375,0,0,2478.1249875,1246595.993712,198249.999,3126501.6092295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12"
"11430","4103002601",4,3.27,0.333333333333333,31,1,NA,1,"41030026","Western",0,10,2012,0,0,0,0,0,1.40000002086163,53378.81223075,50405.06224575,0,2973.749985,0,780311.996064,98133.749505,5870578.970388,0,0,0.545833334326744,0,0,18,0,0,479764.99758,479764.99758,0,0,0,0,0,"12"
"11431","4103002602",3,2.7,0.5,32,0,NA,1,"41030026","Western",0,3,2012,0.666666666666667,0,0.666666666666667,0,0,1.5,27754.99986,27754.99986,0,0,0,965873.995128,339007.49829,2748141.486138,0.697903726708075,0,0.135384618166165,328,0,16.5,622504.99686,0,391543.748025,1014048.744885,0.613880742913001,0.613880742913001,0,0,0,"12"
"11432","4103002606",6,4.64,2,44,0,NA,1,"41030026","Western",0,3,2012,0.444444448123744,0,0.444444448123744,0,0,0.450000002980232,41781.18728925,27705.43736025,0,14075.749929,0,1813987.49085,158599.9992,4145209.229091,1,0,0.608333335036323,90,0,33,0,0,118949.9994,118949.9994,0,0,0,0,0,"12"
"11433","4103002608",6,4.74,0.5,61,0,NA,1,"41030026","Western",0,3,2012,0,0,0,0,0,0.889999985694885,27754.99986,27754.99986,0,0,0,781501.496058,130844.99934,2355606.488118,0,0,0.456963645673323,0,0,270.5,0,0,800929.99596,800929.99596,0,0,0,0,0,"12"
